Grid_Number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,51,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
Voltage,275,275,275,275,275,275,275,275,275,275,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,275,275,187,187,187,187,187,187,187,187,187,187,187,187,275,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187
Grid_Name,道央北幹線,道央西幹線,泊幹線,後志幹線,後志幹線,京極幹線,道央南幹線,南早来線,苫東厚真線,道央東幹線,苗穂北線,篠路線,西札幌線,室蘭西幹線,室蘭西幹線,室蘭西幹線,室蘭西幹線,南九条線,西小樽線,双葉幹線,胆振幹線,室蘭東幹線,苫小牧火力線,勇払線,追分線,他社線,他社線,南札幌幹線,北江別線,道南幹線,北斗幹線,知内線,大野線,函館幹線,函館幹線,函館幹線,道北幹線,旭川南線,名寄幹線,名寄幹線,旭川幹線,滝川幹線,奈井江幹線,狩勝幹線,他社線,日勝幹線,日勝幹線,日勝幹線,奥新冠線,奥新冠線,奥新冠線,高見線,高見線,高見線,春別支線,静内線,日高幹線,富村線,岩松西線,西音更線,道東幹線,釧路北線,西春別線,釧路幹線,北見東線,他社線,他社線,北見幹線,他社線,北本七飯線 
Direction_From,西当別変電所,西双葉開閉所,発電所,発電所,西双葉開閉所,発電所,南早来変電所,発電所,発電所,南早来変電所,西当別変電所,西当別変電所,西札幌変電所,西野変電所,双葉開閉所,西室蘭開閉所,西室蘭開閉所,西野変電所,西野変電所,苫小牧変電所,西伊達変電所,苫小牧変電所,東苫小牧変電所,南早来変電所,南早来変電所,追分開閉所,恵庭変電所,北江別変電所,西当別変電所,北斗変換所,大野変電所,知内開閉所,大野変電所,函館幹線（#299）,北七飯変電所,函館幹線（#366）,西当別変電所,旭川嵐山開閉所,旭川嵐山開閉所,旭川嵐山開閉所,西滝川変電所,西奈井江開閉所,北江別変電所,南早来変電所,北新得変電所,日勝幹線（#162）,新冠開閉所,発電所,発電所,奥新冠線（#47）,岩清水開閉所,高見線（#20）,高見線（#3）,高見開閉所,春別開閉所,北静内変電所,岩清水開閉所,富村線（#59）,北新得変電所,北新得変電所,北新得変電所,宇円別変電所,東釧路変電所,宇円別変電所,発電所,発電所,発電所,発電所,北新得変電所,函館変換所
Direction_To,西野変電所,西野変電所,西野変電所,後志幹線（#115）,後志幹線（#115）,後志幹線（#115）,西双葉開閉所,南早来変電所,南早来変電所,西当別変電所,苗穂変電所,篠路変電所,篠路変電所,西札幌変電所,西野変電所,双葉開閉所,室蘭変電所,南九条変電所,西小樽変電所,双葉開閉所,西室蘭開閉所,室蘭変電所,苫小牧変電所,東苫小牧変電所,追分開閉所,恵庭変電所,南札幌変電所,南札幌変電所,北江別変電所,西双葉開閉所,北斗変換所,大野変電所,北七飯変電所,双葉開閉所,函館幹線（#366）,函館幹線（#299）,旭川嵐山開閉所,旭川変電所,西名寄変電所,西旭川変電所,西旭川変電所,西滝川変電所,西奈井江開閉所,北新得変電所,追分開閉所,北新得変電所,日勝幹線（#162）,新冠開閉所,新冠開閉所,新冠開閉所,奥新冠線（#47）,岩清水開閉所,高見線（#20）,高見線（#3）,高見線（#20）,春別開閉所,南早来変電所,北新得変電所,北芽室変電所,西音更変電所,宇円別変電所,東釧路変電所,西春別変電所,発電所,女満別変電所,発電所,発電所,留辺蘂変電所,発電所,北七飯変電所
Operation_Capacity,1809,1356,0,0,1577,0,1197,0,0,1892,639,639,276,558,555,478,368,427,299,217,0,288,401,608,611,596,535,368,825,733,1064,738,611,197,197,197,383,217,169,169,213,273,276,949,197,332,332,0,0,276,276,262,262,0,184,122,306,122,197,273,289,143,0,0,169,0,0,197,0,0
